year,strategy,total_return,cagr,annualized_volatility,sharpe_ratio,sortino_ratio,calmar_ratio,max_drawdown,time_under_water_days,avg_time_under_water_days,var_95_daily,cvar_95_daily,worst_month,worst_year,hit_rate,average_win,average_loss,profit_factor,turnover,annual_turnover,exposure_ratio,active_day_ratio,return_per_unit_drawdown,return_per_unit_exposure,total_points,number_of_trades,trade_hit_rate,avg_trade_return,avg_trade_points,avg_holding_days
2008,MACD only,-0.11955368037202607,-0.12275083249959295,0.2257120030911526,-0.4672448721268303,-0.5092979670562618,-0.4293848149393187,-0.2858760445847166,153.0,120.5,-0.027355390065395866,-0.03644706984089417,-0.1297636177860404,-0.11955368037202607,0.2530612244897959,0.01529640304298247,-0.015922882471675275,0.9024338613731487,18.0,18.514285714285716,0.4897959183673469,0.4897959183673469,-0.41820111421262335,-0.24408876409288657,-126.26160499999989,10.0,0.3,-0.0077577211504209044,-12.626160499999994,12.9
2009,MACD only,0.976015392885772,0.9813845437825173,0.2327278702248567,3.057211824059338,4.080526103168773,10.760098961339791,-0.09120590315280153,50.0,12.875,-0.019833430314966483,-0.028813431775565407,-0.04915863454123748,0.976015392885772,0.3147410358565737,0.01824118257511571,-0.011812555373071503,1.9676349797393557,16.0,16.06374501992032,0.5298804780876494,0.5298804780876494,10.701230503146355,1.8419538617618705,263.0022500000001,9.0,0.7777777777777778,0.08398909871952763,29.22247222222223,15.666666666666666
2010,MACD only,0.020616280409017307,0.020782912813174903,0.15345083743620727,0.21048655816856393,0.22775784664554727,0.1659390752281905,-0.12524423668503248,247.0,247.0,-0.01578453094100082,-0.025195219403495502,-0.027615148514851473,0.020616280409017307,0.316,0.00870774469236229,-0.008517777091349241,1.0488557969250327,19.0,19.152,0.592,0.592,0.16460861557137893,0.03482479798820491,11.212840000000053,10.0,0.3,0.0025414813770430087,1.1212840000000042,15.8
2011,MACD only,0.06008875359929866,0.061086948608773506,0.14074862422669143,0.4912527566398942,0.6093064767764353,0.5517253696908657,-0.11071984716418026,122.0,56.5,-0.014838421564499675,-0.019349055423168757,-0.044656945725623176,0.06008875359929866,0.20967741935483872,0.012366726198730225,-0.008098931309875445,1.1183352777926472,20.0,20.322580645161292,0.45564516129032256,0.45564516129032256,0.5427098676373389,0.13187620258961122,26.653960000000023,10.0,0.4,0.007076493404680884,2.6653960000000025,12.3
2012,MACD only,0.11546830253928841,0.11644386520607064,0.1429542102703814,0.8418996643371527,0.9241898449270541,0.636667550431767,-0.18289586948023695,210.0,57.0,-0.01370188286897157,-0.02181717624441302,-0.03600243071293496,0.11546830253928841,0.3,0.00910168657065704,-0.0072208791603003575,1.2119883892629517,21.0,21.168,0.576,0.576,0.6313335717609823,0.20046580301959796,37.0964249999999,11.0,0.45454545454545453,0.011392709878566797,3.3724022727272644,14.0
2013,MACD only,0.2160879727895424,0.21799277813306261,0.1087902960363804,1.8674233555825086,2.245830280871752,4.299817714021455,-0.05069814411485418,60.0,22.7,-0.010399219226973433,-0.015484264500137103,-0.013091869072126006,0.2160879727895424,0.316,0.007380696534406078,-0.005450426399500464,1.5282553365825244,19.0,19.152,0.556,0.556,4.26224621358931,0.3886474330747165,91.70078500000008,10.0,0.5,0.020204551893366694,9.170078500000006,14.9
2014,MACD only,0.05804757359520529,0.0592567792238472,0.0943511184648281,0.6573030688651224,0.6543272062900646,0.5294509018811574,-0.11192119800590727,85.0,27.125,-0.010400782266881547,-0.015453728062685105,-0.030975514481348054,0.05804757359520529,0.26720647773279355,0.0066494216772548295,-0.005325000740320178,1.1607796592873578,27.0,27.546558704453442,0.5020242914979757,0.5020242914979757,0.5186468214193124,0.11562702159690087,26.949129999999712,14.0,0.5,0.004509780240720351,1.9249378571428368,9.785714285714286
2015,MACD only,0.23248919036567073,0.23665159738355745,0.10304331252349729,2.1134050417631554,2.879007688623832,5.720089612820366,-0.04137200872747748,58.0,11.722222222222221,-0.00909793816067837,-0.012678999747314559,-0.0074661558971935715,0.23248919036567073,0.3064516129032258,0.00779158244461974,-0.005106009622478958,1.5672053806370916,12.0,12.193548387096774,0.5806451612903226,0.5806451612903226,5.619480356806112,0.4003980500742107,121.62631000000013,7.0,0.8571428571428571,0.03064672585776556,17.37518714285716,21.428571428571427
2016,MACD only,0.05138730127344071,0.051597224922449225,0.08894747531209642,0.6099145239979542,0.7452997630929031,1.0505069553105832,-0.049116500049439904,66.0,16.214285714285715,-0.008895526307777235,-0.012821238500264488,-0.029190781761194273,0.05138730127344071,0.28286852589641437,0.006016316372964037,-0.005407585284193553,1.1448182561049183,20.0,20.0796812749004,0.5179282868525896,0.5179282868525896,1.046232960852566,0.09921702015102783,29.009334999999947,11.0,0.45454545454545453,0.004866891692898243,2.6372122727272678,12.727272727272727
2017,MACD only,0.36517943469827463,0.3685833599023298,0.07552012013142424,4.195038887627845,4.796921263736567,12.540460015321322,-0.029391534238139005,23.0,6.448275862068965,-0.00465557550668054,-0.009977706424805995,-0.00712603302908843,0.36517943469827463,0.408,0.00518902970452962,-0.003307470045043747,2.4619376635027463,16.0,16.128,0.636,0.636,12.424646897963257,0.5741815010979161,252.65753500000005,9.0,0.7777777777777778,0.03640400112989531,28.073059444444457,18.555555555555557
